newid,Undergrad School,Master's Degree School
381065,Hong Kong University Of Science And Technology,National University Of Singapore
869448,Pontificia Universidade Catolica Do Rio De Janeiro,Pontificia Universidade Catolica Do Rio De Janeiro
78819,University Of Melbourne,University Of Melbourne
123056,"University Of California, Berkeley","NA"
538674,University Of Tokyo,University Of Tokyo
591613,"NA","Indian Institute Of Technology, Kanpur"
848948,University Of Minnesota--Minneapolis-St. Paul,"NA"
406052,University Of Chicago,"NA"
988019,Chinese University Of Hong Kong,"NA"
555312,Universite Paris Dauphine (Paris IX),Universite Paris Dauphine (Paris IX)
263268,University Of Oklahoma,"NA"
350905,Universite De Paris I (pantheon-Sorbonne),Ecoles Des Hautes Etudes En Sciences Sociales
383343,University Of Wisconsin-Madison,"NA"
440846,Seoul National University,Seoul National University
348790,Monash University,Monash University
289748,Universidade Estadual De Campinas,Pontificia Universidade Catolica Do Rio De Janeiro
821675,"Graduate School Of Economics, Getulio Vargas Fndn.","Graduate School Of Economics, Getulio Vargas Fndn."
552760,Yale University,"NA"
283411,University Of Cincinnati,"NA"
760784,University Of Tokyo,University Of Tokyo
919452,Seoul National University,Seoul National University
45028,University Of Pennsylvania,"NA"
228875,"NA","Indian Institute of Technology, Madras"
19660,Cornell University,Universidad Carlos Iii De Madrid
138400,"NA",Ecole Superieure d'Electricite-SUPELEC
975159,Lillehammer University College,Norges Handelshoyskole
244952,University of Dhaka,University of Dhaka
591564,Duke University,University Of Toronto
779375,Univ. Catolica 'nuestra Senora De La Asuncion',Instituto Torcuato Di Tella
603855,University Of Chicago,"NA"
522177,University Of Durham,"NA"
857165,Massachusetts Institute of Technology,"NA"
359352,University Of Washington,"NA"
117226,University Of Wisconsin-Madison,"NA"
174069,Wuhan University,University College London
800582,Carroll University,"NA"
467121,Peking University,University Of Wisconsin-Madison
817576,University Of Chicago,"NA"
674045,Universita Degli Studi Di Firenze,University of Bologna
248478,Pomona College,"NA"
387290,Boston University,American University
363378,Vanderbilt University,"NA"
666417,State University Of New York At Farmingdale,"NA"
647894,Hebrew University Of Jerusalem,Tel Aviv University
194555,University Of Wisconsin-Madison,"NA"
196480,Auburn University,"NA"
621256,Instituto Tecnologico Autonomo de Mexico,"NA"
954745,Wesleyan University,"NA"
534064,Babcock University,"NA"
239846,National Technical University of Ukraine,Kyiv School of Economics
875213,B.M.S. College of Engineering,Indira Gandhi National Open University
984225,Zhejiang University,"NA"
46356,Peking University,"NA"
189255,International Christian University,University Of Tokyo
675758,Illinois State University,"NA"
659765,East China Normal University,University of Calgary
767109,Universidade Federal Fluminense,"Graduate School Of Economics, Getulio Vargas Fndn."
399577,Peking University,University Of Wisconsin--Madison
948051,University of Melbourne,University of Melbourne
892610,Peking University,"NA"
143367,Wroclaw University of Economics,Wroclaw University of Technology
945278,Franklin And Marshall College,"NA"
299724,Athens University of Economics and Business,Athens University of Economics and Business
140179,Brigham Young University,"NA"
969114,Brigham Young University,"NA"
247988,University Of Sydney,"NA"
313123,Seton Hall University,"NA"
827655,University Of Ottawa,Boston University
169141,"Hunter College, City University Of New York",University Of Kansas
899300,"NA",Paris School of Economics
840302,Universitat Hamburg,"NA"
369063,University Of Tokyo,University Of Tokyo
786509,Amherst College,"NA"
595507,New York University,"NA"
380197,University of Ottawa,Queen's University
200454,Centro De Investigacion Y Docenias Economicas,"NA"
841153,Ecole Nationale Des Ponts Et Chaussees,Paris School of Economics
972709,"Rutgers, The State University Of New Jersey","NA"
881550,University Of Tennessee At Knoxville,"NA"
240379,"NA",Boston University
562304,Arizona State University,"NA"
889601,New  York University,"NA"
846387,Universidad De Montevideo,"NA"
834390,Universita Bocconi,Universita Bocconi
775523,Peking University,"NA"
514576,Hong Kong University Of Science And Technology,"NA"
898554,University Of Western Australia,University Of Western Australia
2895,Pontificia Universidade Catolica Do Rio De Janeiro,Fundacao Getulio Vargas
271875,University Of Delhi,University College London
300527,University Of Alberta,University Of Alberta
735237,Shanghai International Studies University,Cornell University
317355,Indian Institute of Technology,Indian Institute of Management Ahmedabad
639196,"Rutgers, The State University Of New Jersey","NA"
182182,Grinnell College,"NA"
700528,University Of Southern California,"NA"
95372,Tianjin Foreign Studies University,Peking University
542138,Princeton University,"NA"
475113,Texas State University,Southern Methodist University
986689,Australian National University,"NA"
690505,University of California San Diego,"NA"
94227,Northwestern University,"NA"
119279,The Interdisciplinary Center Herzliya,"NA"
916009,University Of Tokyo,University Of Tokyo
880844,Ibmec Sao Paulo,Pontificia Universidade Catolica Do Rio De Janeiro
183978,University Of Melbourne,University Of Melbourne
538885,University Of Pennsylvania,Georgetown University
202563,Arizona State University,"NA"
912368,Higher School of Economics,State University - Higher School of Economics
144496,Seoul National University,"NA"
546511,University Of Texas At Austin,"NA"
508076,University Of Mannheim,University Of Mannheim
752472,University Of The Phillippines,University Of The Phillippines
445840,Boise State University,"NA"
