,newid,Undergrad School,Undergrad School_updated,Master's Degree School,Master's Degree School_updated
0,277756,Arizona State University,Arizona State University,Georgetown University,Georgetown University
1,138887,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,University Of Oxford,University of Oxford
2,43892,Seoul National University,Seoul National University,Seoul National University,Seoul National University
3,948565,University Of Chicago,University of Chicago,,
4,14018,Yale University,Yale University,,
5,512242,Yonsei University,Yonsei University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
6,781176,London School of Economics,London School of Economics and Political Science,London School of Economics,London School of Economics and Political Science
7,904219,University Of Virginia,University of Virginia,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
8,328878,Tsinghua University,Tsinghua University,University Of Wisconsin-Madison,University of Wisconsin - Madison
9,519707,Nanjing University,Nanjing University,Shanghai Jiao Tong University,Shanghai Jiaotong University
10,501226,University Of International Business & Economics,University of International Business and Economics,University Of Oxford,University of Oxford
11,274494,University Of Michigan--Ann Arbor,University of Michigan,,
12,54499,Sarah Lawrence College,Sarah Lawrence College,Columbia University,Columbia University
13,88872,Grove City College,Grove City College,,
14,895004,Wittenberg University,Wittenberg University,,
15,610791,University Of Tulsa,University of Tulsa,,
16,710454,Wuhan University,Wuhan University,Iowa State University of Science and Technology,Iowa State University of Science and Technology
17,873445,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa,Pont Univ of the Holy Cross,College of the Holy Cross
18,629741,Sharif University Of Technology,Sharif University of Technology,Sharif University Of Technology,Sharif University of Technology
19,541031,University Of Sydney,University of Sydney,,
20,654231,Peking University,Peking University,Renmin University Of China In Beijing,Renmin University of China
21,675773,New York University,New York University,,
22,472606,State University Of New York At Stony Brook,State University of New York at Stony Brook,Columbia University,Columbia University
23,15374,Delhi University,University of Delhi,Delhi School of Economics,Delhi School of Economics
24,716358,University Of Pennsylvania,University of Pennsylvania,,
25,476904,"University Of California, Los Angeles","University of California, Los Angeles",Tufts University,Tufts University
26,688858,Grinnell College,Grinnell College,Harvard University,Harvard University
27,446511,Universidad De Guadalajara,Universidad de Guadalajara,El Colegio De Mexico,El Colegio de México
28,188335,Hautes Etudes Commerciales-Liege,Hautes Etudes Commerciales-Liege,Universite Catholique de Louvain,Université Catholique de Louvain
29,829115,University Of Chicago,University of Chicago,,
30,692009,Nankai University,Nankai University,Tufts University,Tufts University
31,432600,University Of Virginia,University of Virginia,,
32,122385,University Of Texas At Austin,University of Texas,,
33,462935,University Of Alabama at Birmingham,University of Alabama - Birmingham,University Of Alabama at Birmingham,University of Alabama - Birmingham
34,975559,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
35,470488,Lady Shri Ram College For Women,Lady Shri Ram College For Women,,
36,294562,University Of Wisconsin-Madison,University of Wisconsin - Madison,Washington University in St. Louis,Washington University in St. Louis
37,1564,Columbia University,Columbia University,,
38,321728,Princeton University,Princeton University,,
39,384475,Middlebury College,Middlebury College,,
40,53296,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,University Of Chicago,University of Chicago
41,234831,Georgetown University,Georgetown University,,
42,505343,Colby College,Colby College,,
43,878201,Mount Holyoke College,Mount Holyoke College,,
44,817935,Wuhan University,Wuhan University,Wuhan University,Wuhan University
45,731983,Yazd University,Yazd University,University Of Nebraska At Omaha,University of Nebraska - Omaha
46,392111,University Of Hong Kong,University of Hong Kong,University College London,University College London
47,201198,Harvard University,Harvard University,Harvard University,Harvard University
48,329533,Stanford University,Stanford University,Stanford University,Stanford University
49,508529,The Chinese Univ. of Hong Kong,Chinese University of Hong Kong,The Chinese Univ. of Hong Kong,Chinese University of Hong Kong
50,813722,Universidad Nacional De Colombia,Universidad Nacional de Colombia,El Colegio De Mexico,El Colegio de México
51,857211,Middlebury College,Middlebury College,,
52,412774,State University - Higher School of Economics,Higher School of Economics,New Economic School,New Economic School
53,158980,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
54,610939,Yale University,Yale University,,
55,349719,Morehouse College,Morehouse College,,
56,832161,Covenant University,Covenant University,University Of Southern California,University of Southern California
57,516225,Vilnius Gediminas Technical University,Vilnius Gediminas Technical University,Universite De Neuchatel,University of Neuchatel
58,364835,Ivan Franko National University of Lviv,National University,Center for Economic Research & Graduate Education-Econ. Inst.,Center for Economic Research and Graduate Education - Economics Institute
59,420662,University Of Tehran,University of Tehran,Sharif University Of Technology,Sharif University of Technology
60,423199,Colorado State University,Colorado State University,,
61,276512,Cornell University,Cornell University,Massachusetts Institute of Technology,Massachusetts Institute of Technology
62,405823,University Of Warwick,University of Warwick,,
63,233820,Fudan University,Fudan University,University Of Wisconsin-Madison,University of Wisconsin - Madison
64,960100,Liaoning Normal University,Liaoning Normal University,Central Michigan University,Central Michigan University
65,181169,Peking University,Peking University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
66,454601,Cornell University,Cornell University,,
67,542363,Peking University,Peking University,Chinese Academy Of Social Sciences,Chinese Academy Of Social Sciences
68,556622,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci,,
69,131071,Macalester College,Macalester College,,
70,919076,Soka University,Soka University,University Of Tokyo,University of Tokyo
71,678814,Ohio State University,Ohio State University,,
72,778909,Brandeis University,Brandeis University,Brandeis University,Brandeis University
73,584313,University Of Chicago,University of Chicago,,
74,153758,ITAM,Instituto Tecnológico Autonómo de México,,
75,256011,Chinese University Of Hong Kong,Chinese University of Hong Kong,Harvard University,Harvard University
76,624967,University Of Southern California,University of Southern California,Universidad Autonoma De Madrid,Universidad Autónoma de Madrid
77,468156,Korea University,Korea University,Korea University,Korea University
78,542799,Reed College,Reed College,,
79,843543,Budapesti Corvinus Egyetem,Budapesti Corvinus Egyetem,Central European University,Central European University
80,961259,University Of Delhi,University of Delhi,,
81,108819,University College London,University College London,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
82,199799,Universidad Pompeu Fabra,Universitat Pompeu Fabra,,
83,555953,Oberlin College,Oberlin College,,
84,450475,Russian-Armenian (Slavonic) University,Russian-Armenian (Slavonic) State University,Russian-Armenian (Slavonic) University,Russian-Armenian (Slavonic) State University
85,944221,Universita Degli Studi Di Torino,University of Turin,Collegio Carlo Alberto,Collegio Carlo Alberto
86,728843,Columbia University,Columbia University,,
87,298224,Williams College,Williams College,,
88,788796,Peking University,Peking University,"University Of California, San Diego","University of California, San Diego"
89,625700,Claremont McKenna College,Claremont McKenna College,,
90,822284,University Of Missouri--Columbia,University of Missouri - Columbia,University Of Missouri--Columbia,University of Missouri - Columbia
91,654852,University Of Chicago,University of Chicago,,
92,249004,New York University,New York University,,
93,172391,Smith College,Smith College,,
94,172993,,,,
95,669686,Bogazici University,Bogazici University,Bogazici University,Bogazici University
96,654403,National Chengchi University,National Chengchi University,Durham University,University of Durham
97,106702,Nanjing University,Nanjing University,Columbia University,Columbia University
98,445016,"Rutgers, The State University Of New Jersey",Rutgers University,,
99,896863,National Chengchi University,National Chengchi University,National Taiwan University,National Taiwan University
100,570581,Harvard University,Harvard University,,
101,142314,Renmin University of China,Renmin University of China,York University,York University
102,641658,University of St. Gallen,University of St. Gallen,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
103,395482,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
104,636171,Brandeis University,Brandeis University,,
105,130178,Oberlin College,Oberlin College,,
106,413668,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
107,79809,National Taipei University,National Taipei University,National Chengchi University,National Chengchi University
108,117932,Brown University,Brown University,,
109,79243,Peking University,Peking University,,
110,736634,New York University,New York University,,
111,201846,Fudan University,Fudan University,Brown University,Brown University
112,470871,North Carolina State University At Raleigh,North Carolina State University,,
113,936715,,,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
114,95321,,,Georgia State University,Georgia State University
115,629768,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
116,768986,Universitat Bern,University of Berne,Universitat Bern,University of Berne
117,662615,Princeton University,Princeton University,,
118,36034,Peking University,Peking University,Chinese University Of Hong Kong,Chinese University of Hong Kong
119,456217,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,,
120,487030,Southern Methodist University,Southern Methodist University,Southern Methodist University,Southern Methodist University
121,900240,University Of Pennsylvania,University of Pennsylvania,,
122,482684,Carnegie Mellon University,Carnegie Mellon University,,
123,986547,University Of The Phillippines,Adventist University of the Philippines,Universidad Pompeu Fabra,Universitat Pompeu Fabra
124,206403,University Of Florida,University of Florida,University Of Florida,University of Florida
125,684804,University Of Cambridge-Queen's College,University of Cambridge - Queen's College,University Of Oxford-Nuffield College,University of Oxford - Nuffield College
126,385916,Universite Catholique de Louvain,Université Catholique de Louvain,University of Geneva,University of Geneva
127,733582,Sharif University of Technology,Sharif University of Technology,Sharif University of Technology,Sharif University of Technology
128,885571,"University Of California, Davis","University of California, Davis",Stanford University,Stanford University
129,822285,University Of Maryland At College Park,University of Maryland - College Park,,
130,995599,Peking University,Peking University,University Of Wisconsin--Madison,University of Wisconsin - Madison
131,592801,University Of Hong Kong,University of Hong Kong,,
132,876226,Allegheny College,Allegheny College,,
133,408120,University Of Washington,University of Washington,,
134,646382,University Of Delhi,University of Delhi,,
135,106744,University Of Amsterdam,University of Amsterdam,University Of Amsterdam,University of Amsterdam
136,696600,"St. Xavier's College, Kolkata","St. Xavier's College, Kolkata",Jadavpur University,Jadavpur University
137,952512,University Of British Columbia,University of British Columbia,Queens University,Queens University
138,280342,Tsinghua University,Tsinghua University,,
139,250025,Boston College,Boston College,Gordon-Conwell Theological Seminary,Gordon Conwell Theological Seminary
140,310199,Nanyang Technological University,Nanyang Technological University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
141,747387,University Of Cambridge-Wolfson College,University of Cambridge - Wolfson College,,
142,147293,Peking University,Peking University,Duke University,Duke University
143,441362,Peking University,Peking University,University Of Wisconsin-Madison,University of Wisconsin - Madison
144,391999,Peking University,Peking University,Peking University,Peking University
145,927882,University Pantheon Assas (paris Ii),Université Panthéon-Assas (Paris II),Paris School of Economics,Warsaw School of Economics
146,187678,Universidad De Chile,Universidad de Chile,Universidad De Chile,Universidad de Chile
147,617142,University Of Copenhagen,Copenhagen University,University Of Copenhagen,Copenhagen University
148,286565,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
149,203596,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana
150,317635,Wellesley College,Wellesley College,,
151,968004,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,,
152,769179,Beijing Normal University,Beijing Normal University,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
153,354176,University Of Warwick,University of Warwick,,
154,554141,Nanjing University,Nanjing University,Nanjing University,Nanjing University
155,663016,Harbin Normal University,Harbin Normal University,Stanford University,Stanford University
156,225085,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique
157,306648,Universita Degli Studi Di Padova,University of Padua,Universita Degli Studi Di Padova,University of Padua
158,333365,Sri Sathya Sai Institute of Higher Learning,Sri Sathya Sai Institute of Higher Learning,TERI University,Tenri University
159,806262,Miami University,Miami University of Ohio,,
160,498127,University Of Cambridge-Corpus Christi College,University of Cambridge - Corpus Christi College,Imperial College London,Imperial College London
161,281217,Bogazici University,Bogazici University,,
162,941091,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
163,191415,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,,
164,184178,Yerevan State University,Yerevan State University,Tbilisi State University,Tbilisi State University
165,520792,Zhejiang University,Zhejiang University,Massachusetts Institute of Technology,Massachusetts Institute of Technology
166,698346,Harvard College,Harvard University - College,,
167,32312,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University
168,352557,Columbia University,Columbia University,,
169,546737,Elmira College,Elmira College,,
170,968914,Washington University in St. Louis,Washington University in St. Louis,,
171,287929,Universidad De Los Andes,Universidad de Los Andes,University Of Chicago,University of Chicago
172,96116,Shanghai Institute Of Foreign Trade,Shanghai Institue of Foreign Trade,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
173,536390,,,Ecoles Des Hautes Etudes En Sciences Sociales,Ecoles Des Hautes Etudes En Sciences Sociales
174,820245,"Wimbledon School of Art, University of Surrey",University of Surrey - Wimbledon School Of Art,"University of Banja Luka, Faculty of Economics",University of Banja Luka
175,396765,Clark University,Clark University,,
176,367034,Seoul National University,Seoul National University,Seoul National University,Seoul National University
177,283379,Peking University,Peking University,,
178,718714,Brigham Young University,Brigham Young University,,
179,497076,Universidad De San Andres,Universidad de San Andres,Universidad De San Andres,Universidad de San Andres
180,44937,Sun Yat-Sen University,Sun Yat-Sen University of Medical Sciences,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
181,576414,Williams College,Williams College,,
182,45820,Wuhan University,Wuhan University,Boston University,Boston University
183,219565,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
184,251819,University College London,University College London,University College London,University College London
185,27637,Princeton University,Princeton University,,
186,170836,Harvard College,Harvard University - College,,
187,663399,Seoul National University,Seoul National University,Seoul National University,Seoul National University
188,729040,Peking University,Peking University,,
189,785947,"School of Liberal Studies, PDPU","School of Liberal Studies, PDPU",,
190,10717,Duke University,Duke University,,
191,675963,"Hochschule fur Wirtschafts-, Rechts- und Sozialwissenschaften",HWR Berlin: Hochschule für Wirtschaft und Recht Berlin,,
192,943399,University Of Southern California,University of Southern California,University Of Denver,University of Denver
193,662829,Harvard College,Harvard University - College,,
194,461948,Universidad Nacional De Cordoba,Universidad Nacional de Córdoba,Universidad Torcuato Di Tella,Universidad Torcuato di Tella
195,341439,"University Of California, Santa Barbara","University of California, Santa Barbara",,
196,341076,University Of New South Wales,University of New South Wales,,
197,154773,McGill University,McGill University,,
198,643160,,,Otto-von-Guericke Universitat,Otto-von-Guericke Universität Magdeburg
199,913563,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
200,999307,,,,
201,564791,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux
202,281746,McGill University,McGill University,,
203,383347,Pennsylvania State University,Pennsylvania State University,,
204,380901,University Of Tehran,University of Tehran,London School of Economics and Political Science,London School of Economics and Political Science
205,941746,Trinity College,Trinity College Connecticut,University Of Chicago,University of Chicago
206,885376,Indiana University Bloomington,Indiana University at Bloomington,Boston University,Boston University
207,777746,Universidad ORT Uruguay,Universidad ORT Uruguay,,
208,519443,Peking University,Peking University,Chinese University Of Hong Kong,Chinese University of Hong Kong
209,905243,Instituto Torcuato Di Tella,Universidad Torcuato di Tella,Instituto Torcuato Di Tella,Universidad Torcuato di Tella
210,559367,University Of Sao Paulo,University Of Sao Paulo,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
211,859205,Peking University,Peking University,,
212,792964,Washington And Lee University,Washington and Lee University,,
213,7031,Georgetown University,Georgetown University,,
214,985917,University Of Michigan--Ann Arbor,University of Michigan,,
215,787108,Williams College,Williams College,,
216,969124,University Of Vermont and State Agricultural College,University of Vermont - And State Agricultural College,,
217,761899,Columbia University,Columbia University,,
218,816221,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico,Instituto Tecnológico Autonómo de México,,
219,420470,Yale University,Yale University,,
220,450840,University Of Rochester,University of Rochester,,
221,423790,Universitat Bern,University of Berne,Universitat Bern,University of Berne
222,860193,University Of Pune,University of Pune,University Of Nottingham,University of Nottingham
223,758503,Kobe University,Kobe University,Kobe University,Kobe University
224,329644,University Of Delhi,University of Delhi,University Of Delhi,University of Delhi
225,770643,University Of Chicago,University of Chicago,University Of Oxford,University of Oxford
226,39262,Princeton University,Princeton University,,
227,415677,Villanova University,Villanova University,,
228,545671,Thammasat University,Thammasat University,University Of Amsterdam,University of Amsterdam
229,819002,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
230,324166,"University Of California, Los Angeles","University of California, Los Angeles",,
231,136122,Mount Holyoke College,Mount Holyoke College,,
232,590852,Renmin University Of China In Beijing,Renmin University of China,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
233,208497,University Of Nebraska,University of Nebraska - Lincoln,,
234,141630,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid
235,9146,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
236,255335,"University Of California, Los Angeles","University of California, Los Angeles",,
237,8028,University Of New Mexico,University of New Mexico,University Of New Mexico,University of New Mexico
238,510235,Goethe University,Johann Wolfgang Goethe Universität Frankfurt am Main,,
239,866448,University Of Pennsylvania,University of Pennsylvania,Massachusetts Institute of Technology,Massachusetts Institute of Technology
240,421203,Lahore University Of Management Sciences,Lahore University of Management Sciences,Lahore University Of Management Sciences,Lahore University of Management Sciences
241,793979,University Of Montreal,Université de Montréal,University Of Montreal,Université de Montréal
242,708444,University Of British Columbia,University of British Columbia,University Of British Columbia,University of British Columbia
243,794284,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University
244,826666,Technische Universitat Munchen,Technische Universität München,Harvard University,Harvard University
245,904299,University Of Iowa,University of Iowa,,
246,121337,Carnegie Mellon University,Carnegie Mellon University,,
247,687462,Tufts University,Tufts University,,
248,254203,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,University Of Cambridge-Clare Hall,University of Cambridge
249,327626,Indiana Wesleyan University,Indiana Wesleyan University,,
250,6660,Ural Federal University,Ural Federal University,Ural Federal University,Ural Federal University
251,223745,Cornell University,Cornell University,,
252,250174,Columbia University,Columbia University,,
253,79383,Universidad Nacional De Cuyo,Universidad Nacional de Cuyo,Universidad Torcuato Di Tella,Universidad Torcuato di Tella
254,708992,Tel Aviv University,Tel Aviv University,Tel Aviv University,Tel Aviv University
255,895534,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,,
256,60811,National University Of Singapore,National University of Singapore,,
257,348295,Stanford University,Stanford University,,
258,771910,,,New Economic School,New Economic School
259,913312,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Yale University,Yale University
260,158242,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University
261,455993,Case Western Reserve University,Case Western Reserve University,,
262,823942,University Of St Andrews,University of St. Andrews,,
263,847586,Johns Hopkins University,Johns Hopkins University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
264,603354,University Of Tokyo,University of Tokyo,University Of Essex,University of Essex
265,514321,Colorado State University,Colorado State University,,
266,197461,Peking University,Peking University,,
267,903976,University Of Sao Paulo,University Of Sao Paulo,University Of Sao Paulo,University Of Sao Paulo
268,677929,Universita Bocconi,Università Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
269,710889,Singapore Management University,Singapore Management University,,
270,949454,Universite De Lausanne,University of Lausanne,University College London,University College London
271,68213,University Of Chicago,University of Chicago,,
272,687848,Universidad De Los Andes,Universidad de Los Andes,Universidad De Los Andes,Universidad de Los Andes
273,613221,"University Of California, Berkeley","University of California, Berkeley",,
274,896019,Millsaps College,Millsaps College,,
275,481379,Calvin College,Calvin College,,
276,798840,St Xavier's College,"St. Xavier's College, Kolkata",The Graduate Institute Of International and Development Studies,The Graduate Institute Of International and Development Studies
277,730192,Xiamen University,Xiamen University,Cornell University,Cornell University
278,725511,City University Of Hong Kong,City University of Hong Kong,,
279,124256,University Of Chicago,University of Chicago,,
280,131108,George Mason University,George Mason University,,
281,261237,Sharif University of Technology,Sharif University of Technology,,
282,106439,University Of Pennsylvania,University of Pennsylvania,,
283,985082,Wuhan University,Wuhan University,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
284,255562,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology,University Of Oxford,University of Oxford
285,506615,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
286,82191,Princeton University,Princeton University,,
287,94578,University Of Kansas,University of Kansas,,
288,109330,National Research University Higher School of Economics,Higher School of Economics,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
289,421806,Central University Of Finance And Economics,Central University of Finance and Economics,,
290,592301,Seoul National University,Seoul National University,Seoul National University,Seoul National University
291,917122,Indian Institute of Technology,Indiana Institute of Technologyy,"University Of California, Berkeley","University of California, Berkeley"
292,935789,University Of Michigan--Dearborn,University of Michigan - Dearborn,,
293,828726,University of San Francisco,University of San Francisco,University of San Francisco,University of San Francisco
294,864489,,,Yale University,Yale University
295,443595,University Of Adelaide,University of Adelaide,,
296,705319,Brown University,Brown University,,
297,817481,Instituto Tecnologico y de Estudios Superiores de Monterrey,Tecnológico de Monterrey,El Colegio De Mexico,El Colegio de México
298,570167,University of Dhaka,University of Dhaka,Western Illinois University,Western Illinois University
299,708813,Erasmus University,Erasmus University Rotterdam,Erasmus University,Erasmus University Rotterdam
300,866990,Princeton University,Princeton University,,
301,177161,University Of Chicago,University of Chicago,Georgetown University,Georgetown University
302,467669,Universita Degli Studi Roma Tre,Third University of Rome,Universita degli Studi di Roma Tor Vergata (CIES),Università degli Studi di Roma Tor Vergata (CIES)
303,687058,Renmin University of China,Renmin University of China,,
304,504198,"Rutgers, The State University Of New Jersey",Rutgers University,,
305,843427,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology,Seoul National University,Seoul National University
306,628801,Georgetown University,Georgetown University,,
307,472487,Vanderbilt University,Vanderbilt University,,
308,482258,Williams College,Williams College,,
309,170250,Harvard University,Harvard University,,
310,713330,Williams College,Williams College,,
311,894917,"University of Delhi, Hansraj College",University of Delhi - Hansraj College,University Of Delhi,University of Delhi
312,483651,University Of Sao Paulo,University Of Sao Paulo,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
313,361671,University Of Pune,University of Pune,New York University,New York University
314,431421,Swarthmore College,Swarthmore College,Carnegie Mellon University,Carnegie Mellon University
315,899542,Universidad Nacional Autonoma De Mexico,Universidad Nacional Autónoma de México,El Colegio De Mexico,El Colegio de México
316,654233,University Of Chicago,University of Chicago,,
317,663876,Brown University,Brown University,,
318,554515,Universita Bocconi,Università Bocconi,Columbia University,Columbia University
319,980996,Singapore Management University,Singapore Management University,National University Of Singapore,National University of Singapore
320,942596,Zhejiang University,Zhejiang University,,
321,771548,University Of Texas At Austin,University of Texas,,
322,191831,Case Western Reserve University,Case Western Reserve University,Collegio Carlo Alberto,Collegio Carlo Alberto
323,651809,National Chung Hsing University,"National Chung Hsing University, Taichung",National Tsing Hua University,National Tsinghua University
324,329603,Universidade Nova De Lisboa,Universidade Nova de Lisboa,Universidade Nova De Lisboa,Universidade Nova de Lisboa
325,32869,Sharif University Of Technology,Sharif University of Technology,,
326,349024,Universidad de Piura,Universidad de Piura,,
327,890590,Wabash College,Wabash College,,
328,348142,University Of Tokyo,University of Tokyo,Hosei University,Hosei University
329,8212,,,,
330,886021,Princeton University,Princeton University,,
331,233430,Kazakh National University,National University,State University Of New York At Albany,State University of New York at Albany
332,577456,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
333,241016,Utrecht University,Utrecht University,University Of Cambridge,University of Cambridge
334,217364,Georgetown University,Georgetown University,,
335,109733,American University Of Beirut,American University of Beirut,Texas A&M University,Texas A&M University
336,144533,Columbia University,Columbia University,Columbia University,Columbia University
337,561907,University Of Michigan--Ann Arbor,University of Michigan,,
338,556037,National Insitute for Lifelong Education,National Institute for Lifelong Education,,
339,627230,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,University Of Oxford,University of Oxford
340,926858,Princeton University,Princeton University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
341,773097,Middlebury College,Middlebury College,,
342,730907,University Of Sao Paulo,University Of Sao Paulo,University Of Sao Paulo,University Of Sao Paulo
343,334150,National Taiwan University,National Taiwan University,National Taiwan University,National Taiwan University
344,899532,Johns Hopkins University,Johns Hopkins University,,
345,864158,Tilburg University,Tilburg University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
346,570645,Duke University,Duke University,,
347,77636,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
348,841342,Isfahan University of Technology,Isfahan University of Technology,Sharif University of Technology,Sharif University of Technology
349,184927,Oporto University,Oporto University,Universidad Pompeu Fabra,Universitat Pompeu Fabra
350,108997,California Institute Of Technology,California Institute of Technology,,
351,185470,Universite De Lausanne,University of Lausanne,Universite De Lausanne,University of Lausanne
352,91734,INSPER (Institute of Education and Research),Insper Institute of Education and Research,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
353,335433,UniversitÃ© de Lausanne,University of Lausanne,,
354,383749,Amirkabir University of Technology,Amirkabir University of Technology,Sharif University Of Technology,Sharif University of Technology
355,959662,,,Ecole Polytechnique,Ecole Polytechnique
356,120916,University Of Science and Technology Of China,University of Science and Technology of China,,
357,848276,Columbia University,Columbia University,,
358,896420,Sun Yat-Sen University,Sun Yat-Sen University of Medical Sciences,,
359,130791,"Tishreen University, Lattakia, Syria",Tishreen University,Cranfield University,Cranfield University
360,723905,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,Hebrew University Of Jerusalem,Hebrew University of Jerusalem
361,149751,University Of Washington,University of Washington,,
362,347457,Sogang University,Sogang University,University Of Wisconsin-Madison,University of Wisconsin - Madison
363,263251,Stella Maris College,Stella Maris College,,
364,536815,Wuhan University,Wuhan University,Illinois Institute Of Technology,Illinois Institute of Technology
365,450260,Pennsylvania State University,Pennsylvania State University,,
366,505301,Eberhard-Karls-Universitat Tubingen,Eberhard-Karls-Universität Tübingen,Eberhard-Karls-Universitat Tubingen,Eberhard-Karls-Universität Tübingen
367,82251,Fundacao Gertulio Vargas,Fundação Getulio Vargas,Fundacao Gertulio Vargas,Fundação Getulio Vargas
368,799740,New York University,New York University,,
369,418760,Amherst College,Amherst College,Yale University,Yale University
370,265338,University Of Chicago,University of Chicago,,
371,968396,Fudan University,Fudan University,,
372,170747,University Of Arizona,University of Arizona,,
373,383754,Simon Fraser University,Simon Fraser University,University Of Toronto,University of Toronto
374,773137,Fudan University,Fudan University,University Of Wisconsin-Madison,University of Wisconsin - Madison
375,417338,University Of Missouri--Columbia,University of Missouri - Columbia,,
376,294531,"University Of California, Davis","University of California, Davis",,
377,448191,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
378,773030,Hanyang University ERICA,Hanyang University,State University Of New York At Stony Brook,State University of New York at Stony Brook
379,163052,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
380,136418,"University Of California, Irvine","University of California, Irvine",Georgetown University,Georgetown University
381,704310,Middle East Technical University,Middle East Technical University,Koc University,Koc University
382,896753,Renmin University Of China In Beijing,Renmin University of China,Ohio State University,Ohio State University
383,165707,"Barnard College, Columbia University",Barnard College - Columbia University,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
384,472222,Peking University,Peking University,,
385,588289,Sharif University Of Technology,Sharif University of Technology,Sharif University Of Technology,Sharif University of Technology
