,confidence,orig,name,school
580,high,Zhejiang Gongshang University,Zhejiang Gongshang University,
581,high,University of London,University of London,
582,high,University Of Miami,University of Miami,
583,high,Hanyang University,Hanyang University,
584,google-match,Universitat Wien,Universität Vienna,
585,same-name,Johann Wolfgang Goethe-Universitat Frankfurt,Johann Wolfgang Goethe Universität Frankfurt am Main,
586,high,Siena College,Siena College,
587,high,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad,
588,google-match,Southern Illinois University--Edwardsville,Southern Illinois University at Edwardsville,
589,google-match,University Of Bayreuth,Universität Bayreuth,
590,high,University of Bristol,University of Bristol,
591,high,Sophia College for Women,Sophia College for Women,
592,high,Birla Institute Of Technology & Science,Birla Institute of Technology and Science,
593,high,University Of Houston--University Park,University of Houston,
594,high,universidad de los andes,Universidad de Los Andes,
595,high,Escola De Administracao De Empresas De Sao Paulo,Escola De Administracao De Empresas De Sao Paulo,
596,high,Indian Institute of Technology Delhi,"Indian Institute of Technology, Delhi",
597,high,University Of South Carolina,University of South Carolina,
598,high,Kenyon College,Kenyon College,
599,high,St. Vincent College,St. Vincent College,
600,google-match,Ryerson Polytechnic Institute,Ryerson Polytechnic University,
601,high,Open University Of Israel,Open University of Israel,
602,high,Keio University,Keio University,
603,partial-100,Huaqiao University,Huaqiao University Quanzhuo,
604,high,University College Utrecht (Utrecht University),Utrecht University,university college utrecht
605,high,University Of Minnesota-Morris,University of Minnesota - Morris,
606,same-name,Helsinki School Of Econ. & Business Administration,Helsinki School of Economics and Business Administration,
607,high,University of St. Andrews,University of St. Andrews,
608,high,University Of Manitoba,University of Manitoba,
609,high,Pontificia Universidad Catolica Del Ecuador,Pontificia Universidad Católica del Ecuador,
610,high,Xian Jiaotong University,Xi'an Jiaotong University,
611,high,Occidental College,Occidental College,
612,high,University of Science and Technology of China,University of Science and Technology of China,
613,high,Beijing Forestry University,Beijing Forestry University,
614,high,University Of Colorado At Denver,University of Colorado at Denver,
615,high,Ohio University,Ohio University,
616,high,Mersin University,Mersin University,
617,high,La Trobe University,La Trobe University,
618,high,Harvey Mudd College,Harvey Mudd College,
619,high,Creighton University,Creighton University,
620,high,University Of Science And Technology Beijing,University of Science and Technology Beijing,
621,high,St. Mary's College Of Maryland,St. Mary's College of Maryland,
622,high,"Long Island University, C. W. Post Center",Long Island University,c w post center
623,high,University Of South Florida,University of South Florida,
624,high,University Of Central Florida,University of Central Florida,
625,google-match,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University (Virginia Tech),
626,high,University Of Kerala,University of Kerala,
627,high,"California State University, Fullerton","California State University, Fullerton",
628,high,Virginia Commonwealth University,Virginia Commonwealth University,
629,high,Suffolk University,Suffolk University,
630,high,Escola Politecnica da Universidade de Sao Paulo,Escola Politecnica da Universidade de Sao Paulo,
631,ratio-93,Universidad Cristobal Colon,Universidad Cristóbal Colón,
632,google-match,Humboldt University of Berlin,Humboldt Universität Berlin,
633,high,Union College,Union College,
634,high,Kansas State University,Kansas State University,
635,high,MS Ramaiah institute Of Technology,Ramaiah Institute of Technology,
636,not changed,University Of Indonesia,University Of Indonesia,
637,high,Iowa State University of Science and Technology,Iowa State University of Science and Technology,
638,same-name,Pont Univ of the Holy Cross,College of the Holy Cross,
639,not changed,Delhi School of Economics,Delhi School of Economics,
640,high,El Colegio De Mexico,El Colegio de México,
641,high,University Of Nebraska At Omaha,University of Nebraska - Omaha,
642,high,New Economic School,New Economic School,
643,google-match,Universite De Neuchatel,University of Neuchatel,
644,not changed,Center for Economic Research & Graduate Education-Econ. Inst.,Center for Economic Research & Graduate Education-Econ. Inst.,
645,high,Central Michigan University,Central Michigan University,
646,not changed,Chinese Academy Of Social Sciences,Chinese Academy Of Social Sciences,
647,high,Universidad Autonoma De Madrid,Universidad Autónoma de Madrid,
648,high,Central European University,Central European University,
649,high,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics,
650,high,Collegio Carlo Alberto,Collegio Carlo Alberto,
651,token-100,Durham University,University of Durham,
652,high,York University,York University,
653,high,Georgia State University,Georgia State University,
654,high,University Of Oxford-Nuffield College,University of Oxford,nuffield college
655,high,Queens University,Queens University,
656,high,Gordon-Conwell Theological Seminary,Gordon Conwell Theological Seminary,
657,same-name,Paris School of Economics,Warsaw School of Economics,
658,high,TERI University,Tenri University,
659,high,Tbilisi State University,Tbilisi State University,
660,high,Ecoles Des Hautes Etudes En Sciences Sociales,Ecoles Des Hautes Etudes En Sciences Sociales,
661,high,"University of Banja Luka, Faculty of Economics",University of Banja Luka,
662,high,University Of Denver,University of Denver,
663,partial-97,Otto-von-Guericke Universitat,Otto-von-Guericke Universität Magdeburg,
664,google-match,London School of Economics and Political Science,"London School of Economics and Political Science, University of London",
665,high,University Of Nottingham,University of Nottingham,
666,high,University Of Cambridge-Clare Hall,University of Cambridge,
667,high,University Of Essex,University of Essex,
668,not changed,The Graduate Institute Of International and Development Studies,The Graduate Institute Of International and Development Studies,
669,high,Western Illinois University,Western Illinois University,
670,same-name,Universita degli Studi di Roma Tor Vergata (CIES),Universita Degli Studi Di Trieste,
671,high,National Tsing Hua University,National Tsinghua University,
672,high,Hosei University,Hosei University,
673,high,State University Of New York At Albany,State University of New York at Albany,
674,high,Cranfield University,Cranfield University,
675,high,Illinois Institute Of Technology,Illinois Institute of Technology,
676,high,University Of Dar Es Salaam,University of Dar Es Salaam,
677,high,Universite Des Sciences Sociales (toulouse I),Université des Sciences Sociales (Toulouse I),
678,google-match,UniversitÃ  degli studi di Roma Tor Vergata,"University of Roma ""Tor Vergata""",
679,high,University Of Greenwich,University of Greenwich,
680,partial-100,Institute for Advanced Studies,Dublin Institute for Advanced Studies,
681,high,Montana State University,Montana State University,
682,high,University of Illinois at Chicago,University of Illinois at Chicago,
683,not changed,Centro De Estudios Monetarios Y Financieros,Centro De Estudios Monetarios Y Financieros,
684,high,Pepperdine University,Pepperdine University,
685,high,Indian Statistical Institute,Indian Statistical Institute,
686,high,Murdoch University,Murdoch University,
687,high,University of Bologna,University of Bologna,
688,ratio-94,Shahid Beheshti University,Shaheed Beheshti University,
689,high,University Of Cambridge-Peterhouse,University of Cambridge,
690,same-name,Universite Toulouse I,Université de Toulouse,
691,google-match,Humboldt University,Humboldt State University,
692,high,State University Of New York At Buffalo,State University of New York at Buffalo,
693,not changed,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies,
694,high,Presidency University,Presidency University,
695,not changed,"Postgradaute Institute of Management, University of Sri Jayeward","Postgradaute Institute of Management, University of Sri Jayeward",
696,google-match,Humboldt University in Berlin,Humboldt Universität Berlin,
697,high,Waseda University,Waseda University,
698,high,"California State University, Hayward","California State University, Hayward",
699,high,Vrije Universiteit Brussel,Vrije Universiteit Brussel,
700,high,Stockholm School Of Economics,Stockholm School of Economics,
701,high,"Indian Institute Of Technology, Kanpur","Indian Institute of Technology, Kanpur",
702,google-match,Ecole Superieure d'Electricite-SUPELEC,Ecole Centrale De Paris,
703,high,Kyiv School of Economics,Kiev School Of Economics,
704,high,Indira Gandhi National Open University,Indira Gandhi National Open University,
705,high,Wroclaw University of Technology,University of Technology,
706,high,Indian Institute of Management Ahmedabad,Indian Institute of Management Ahmedabad,
707,high,Roosevelt University,Roosevelt University,
708,high,University Of Guelph,University of Guelph,
709,google-match,Bergische Universitaet Wuppertal,Kirchliche Hochschule Wuppertal,
710,high,"Columbia University, Barnard College",Columbia University,barnard college
