,newid,Institution of highest degree obtained,name
397,274565,Washington University in St. Louis,Washington University in St. Louis
398,272296,New York University,New York University
399,930175,University of Wisconsin-Madison,University of Wisconsin - Madison
400,213614,Stanford University,Stanford University
401,589299,Cornell University,Cornell University
402,725405,University of Cambridge,University of Cambridge
403,724618,-,
404,163745,-,
405,427606,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
406,601427,"University of California, Berkeley","University of California, Berkeley"
407,387502,Columbia University in the City of New York,Columbia University
408,281913,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
409,393981,International and Development Studies (IHEID),International and Development Studies (IHEID)
410,84844,"University of California, Berkeley","University of California, Berkeley"
411,13681,Peking University,Peking University
412,133995,University of Minnesota-Twin Cities,University of Minnesota
413,293652,The Johns Hopkins University,Johns Hopkins University
414,690491,"University of California, Los Angeles","University of California, Los Angeles"
415,109681,Cornell University,Cornell University
416,468851,The Ohio State University,Ohio State University
417,290737,Purdue University,Purdue University
418,1252,-,
419,370433,-,
420,362906,University of Washington,University of Washington
421,78264,-,
422,577164,University of Toronto Mississauga,"University of Toronto, Mississauga"
423,926097,University of Michigan,University of Michigan
424,382641,Stanford University,Stanford University
425,43430,The University of Texas at Austin,University of Texas
426,752473,-,
427,893910,-,
428,869421,Yale University,Yale University
429,723659,Universitat Pompeu Fabra,Universitat Pompeu Fabra
430,789195,Duke University,Duke University
431,187777,-,
432,178592,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
433,43111,-,
434,562031,Yale University,Yale University
435,694764,Michigan State University,Michigan State University
436,704249,"University of California, Davis","University of California, Davis"
437,188479,University of Pennsylvania,University of Pennsylvania
438,844516,-,
439,332277,University of Southern California,University of Southern California
440,132177,-,
441,341838,Northwestern University,Northwestern University
442,157907,The Johns Hopkins University,Johns Hopkins University
443,605654,"University of California, Davis","University of California, Davis"
444,449598,University of Warwick,University of Warwick
445,343720,-,
446,302727,Princeton University,Princeton University
447,654418,Harris School of Public Policy at the University of Chicago,University of Chicago - Harris School Of Public Policy
448,212332,-,
449,894373,University of Virginia,University of Virginia
450,142517,-,
451,468630,Stanford University,Stanford University
452,678863,Massachusetts Institute of Technology,Massachusetts Institute of Technology
453,411566,University of Oxford,University of Oxford
454,7862,"University of California, Berkeley","University of California, Berkeley"
455,515481,Harvard University,Harvard University
456,183237,-,
457,724015,-,
458,699219,-,
459,462335,Princeton University,Princeton University
460,733296,Yale University,Yale University
461,508396,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences
462,248073,"University of California, San Diego","University of California, San Diego"
463,148140,Georgetown University,Georgetown University
464,624545,University of Texas at Austin,University of Texas
465,750530,"University of California, Berkeley","University of California, Berkeley"
466,912744,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
467,424234,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
468,590764,UC Irvine,"University of California, Irvine"
469,297546,Columbia University in the City of New York,Columbia University
470,433466,Columbia University in the City of New York,Columbia University
471,366308,University of Chicago,University of Chicago
472,111288,University of Virginia,University of Virginia
473,137849,New York University,New York University
474,858201,University of San Francisco,University of San Francisco
475,422582,Università Bocconi,Università Bocconi
476,478660,-,
477,472330,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
478,502,-,
479,678173,-,
480,491491,-,
481,406807,-,
482,533088,-,
483,807805,West Virginia University,West Virginia University
484,586093,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe Universität Frankfurt am Main
485,763453,-,
486,919687,"University of California, Berkeley","University of California, Berkeley"
487,294829,Central European University,Central European University
488,135438,SFI Swiss Finance Institute,SFI Swiss Finance Institute
489,362186,University of Cambridge,University of Cambridge
490,713545,"University of California, Irvine","University of California, Irvine"
491,652071,Johns Hopkins University Advanced Academic Programs,Johns Hopkins University
492,734521,Columbia University in the City of New York,Columbia University
493,169853,-,
494,960388,-,
495,998043,Georgia State University - Andrew Young School of Policy Studies,Georgia State University - Andrew Young School Of Policy Studies
496,838087,-,
497,843649,Stanford University,Stanford University
498,345269,Indiana University Bloomington,Indiana University at Bloomington
499,796717,University of Cambridge,University of Cambridge
500,883997,"University of California, Los Angeles","University of California, Los Angeles"
501,847296,University of Rochester,University of Rochester
502,781451,University of Notre Dame,University of Notre Dame
503,706170,Universidad de Chile,Universidad de Chile
504,164203,Duke University,Duke University
505,314576,-,
506,504564,UCLA,"University of California, Los Angeles"
507,327983,Massachusetts Institute of Technology,Massachusetts Institute of Technology
508,666546,Stanford University,Stanford University
509,900574,Massachusetts Institute of Technology,Massachusetts Institute of Technology
510,672199,Columbia University in the City of New York,Columbia University
511,526179,Boston College,Boston College
512,205191,UCL,University College London
513,991489,"New York University, Stern School of Busines",New York University - Stern School Of Busines
514,781972,-,
515,334330,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
516,784216,Trinity College Dublin,"University of Dublin, Trinity College"
517,770209,Columbia University,Columbia University
518,428475,-,
519,486921,-,
520,780170,Harvard University,Harvard University
521,692256,Princeton University,Princeton University
522,138183,-,
523,560795,-,
524,993247,Boston University,Boston University
525,340104,Georgetown University,Georgetown University
526,515761,Cornell University,Cornell University
527,375525,Massachusetts Institute of Technology,Massachusetts Institute of Technology
528,313096,Georgetown University,Georgetown University
529,489639,-,
530,292759,Yale University,Yale University
531,707371,University of Michigan,University of Michigan
532,989126,Columbia University in the City of New York,Columbia University
533,831094,New York University,New York University
534,786380,-,
535,979001,Stanford University,Stanford University
536,25141,University of Pennsylvania,University of Pennsylvania
537,412408,Stanford University,Stanford University
538,22946,-,
539,828528,Yale University,Yale University
