newid,Institution of highest degree obtained
58816,University of Illinois at Urbana-Champaign
377146,Lehigh University College of Business
34802,-
217563,-
794950,Duke University
871184,New York University School of Law
384456,University of Minnesota
458731,-
859999,-
560978,"University of California, Davis"
890469,David Geffen School of Medicine at UCLA
544145,Boston University
271283,-
491388,-
92066,Stanford University
986658,Getulio Vargas Foundation / FGV
477479,University of Wisconsin-Madison
809721,"University of California, San Diego"
11119,-
123906,-
928726,University of Minnesota-Twin Cities
71305,Yale University
717416,Cornell University Graduate School
269208,Washington University in St. Louis
351363,New York University
600294,-
50993,-
687808,Texas A&M University
629810,-
597642,Universitat Pompeu Fabra
834886,Yale University
819135,University of Wisconsin-Madison
55719,University of Wisconsin-Madison
401987,-
80264,Brown University
650194,Cambridge University
871306,-
895565,University of Pennsylvania
629274,"University of California, Los Angeles"
446750,Yale University
381053,UCL
86341,-
107901,-
791745,"Indian Institute of Technology, Madras"
546741,Toulouse School of Economics
92698,The University of Texas at Austin
917052,The London School of Economics and Political Science (LSE)
720654,New York University - Leonard N. Stern School of Business
791139,-
452215,-
538897,-
52055,-
28379,MIT Sloan School of Management
557555,"University of California, Berkeley"
810873,The University of Chicago Booth School of Business
518317,New York University
266874,-
559802,Texas McCombs School of Business
690853,-
918504,University of Minnesota-Twin Cities
256294,Duke University
453604,"University of California, Berkeley"
394907,-
509633,-
594477,UNSW
999460,University of Wisconsin-Madison
425103,University of California
946356,-
501577,-
16600,Columbia University in the City of New York
135558,-
337871,University of Sussex
619749,New York University
231204,University of Connecticut
696010,-
800508,University of Minnesota
461508,University of California
976052,Duke University
707207,-
191583,Arizona State University - W. P. Carey School of Business
585947,California Institute of Technology
403424,-
603944,The University of Texas at Austin
808218,"University of California, Berkeley"
171371,University of Sussex
430668,The Wharton School
487145,-
149659,-
500368,Stanford University
580103,Northwestern University
177910,BI Norwegian Business School
702023,"University of California, Berkeley"
137260,Cornell University
977598,Columbia University in the City of New York
559322,The London School of Economics and Political Science (LSE)
977146,Princeton University
381937,University of Michigan
501526,University of Michigan
841271,New York University
913023,University of Warwick - Warwick Business School
711706,University of Minnesota
974064,-
975316,University of Hong Kong
168516,-
156204,Georgetown University
263898,New York University
436075,Texas A&M University
352375,The University of Chicago Booth School of Business
129069,Stanford University
518032,Brown University
617737,-
433188,-
255356,Stanford University Graduate School of Business
337561,University of Houston
989269,London School of Economics and Political Science
666778,Cornell University
533174,Stanford University
464761,Princeton University
522003,-
724579,University of Toronto
850801,University of Maryland
147951,International University - VNU HCMC
915850,Columbia University
827129,The University of Chicago
78942,Yale University
701374,-
137355,-
19176,UCLA
505454,Harvard University
21770,University of Pennsylvania - The Wharton School
831813,The Johns Hopkins University School of Medicine
641031,Rice University
10653,University of Wisconsin-Madison
634087,DePaul University
13054,-
17650,The London School of Economics and Political Science (LSE)
393788,-
915297,-
898412,Yale University
408779,Michigan State University
712262,-
556832,-
752068,-
650761,Stanford University
944235,Duke University
411876,-
580703,-
58706,University of Pennsylvania
188991,Peking University
14411,-
881010,-
715061,Stanford University Graduate School of Business
931826,-
547523,University of Essex
218802,New York University
25695,Lingnan University
733663,-
491181,-
201223,University of Pittsburgh - Joseph M. Katz Graduate School of Business
631449,University of Pittsburgh
699440,Columbia University
909492,-
214695,University of Pennsylvania
575876,The Wharton School
505854,"University of California, San Diego"
72559,University of Michigan
117368,The Wharton School
748184,-
154345,New York University
395144,The Ohio State University
438703,-
450343,-
930199,Massachusetts Institute of Technology
842900,-
943750,University of Michigan
648168,-
47748,"University of California, Los Angeles"
151969,New York University
418061,London School of Economics and Political Science
535240,Duke University
852781,Texas A&M University
133976,Carnegie Mellon University - Tepper School of Business
892268,University of Washington
539710,University of Pennsylvania
85007,"University of California, Los Angeles"
961119,Yale Law School
339353,The Wharton School
942284,-
957358,"University of California, San Diego"
588691,-
664868,Michigan State University
396345,Boston College
677017,University of Pennsylvania
350279,University of Washington
350249,"University of California, Berkeley"
504918,-
591550,-
890938,University of Warwick
664474,Cornell University
481907,"Stanford University, Graduate School of Business"
867896,-
113027,"Trinity College, Dublin"
562232,-
997646,Princeton University
322418,London Business School
109838,The George Washington University
666523,Cornell University
393994,University of Minnesota-Twin Cities
219311,-
236981,Washington University in St. Louis
734185,The London School of Economics and Political Science
768396,-
273414,NYU Stern School of Business
759016,University of Minnesota
971365,-
779511,-
464903,Princeton University
168077,-
594675,-
177447,The University of Chicago Booth School of Business
97979,Massachusetts Institute of Technology
396518,University of Minnesota
610551,University of Wisconsin-Madison
223929,Boston University
413275,-
267917,-
759912,-
660471,Stanford University
639962,George Mason University
399090,"Indian Institute of Management, Calcutta"
371947,University of Kent
24738,-
715404,University in St. Louis
699100,-
330518,-
278632,New York University
911780,Yale University
285812,University of AmsterdamUniversity of Amsterdam
229189,Northwestern University - Kellogg School of Management
350471,-
105755,-
783117,Yale University
201691,Northwestern University
384319,-
109318,-
244530,-
171587,University of Maryland
994145,Brandeis University
604528,Case Western Reserve University School of Medicine
865256,Seoul National University
438481,-
518133,The Johns Hopkins University
514710,-
144924,"University of California, Berkeley, Haas School of Business"
975626,Tsinghua University
208606,University of Maryland
945351,Massachusetts Institute of Technology
675959,Columbia University
672530,Columbia University in the City of New York
577387,"University of California, Berkeley"
255076,-
148066,Princeton University
314046,Duke University
488821,Korea Advanced Institute of Science and Technology
153869,University of Calgary
524341,-
898959,-
819906,Harvard University
695165,SVKM's Narsee Monjee Institute of Management Studies (NMIMS)
